Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
No,"Salad Bar,Water/Juices",Salad Bar,Water/Juices,,,,,,,,,,,,No,,No,
No,"Family Meal,Grill,Special,Soups,Water/Juices,Drinks,Deli",Grill,Special,Soups,Drinks,Water/Juices,Deli,Family Meal,,,,,,,Yes,Family Meal,Yes,"Family Meal,Drinks"
Yes,"Global Market,Grill,Pizza,Salad Bar,Water/Juices",Pizza,Global Market,Grill,Salad Bar,Water/Juices,,,,,,,,,No,,No,
No,"Salad Bar,Fruit",Salad Bar,Fruit,,,,,,,,,,,,No,,Yes,Grill
No,"Gluten Free,Soups,Salad Bar,Water/Juices",Gluten Free,Soups,Salad Bar,Water/Juices,,,,,,,,,,No,,No,
Yes,"Family Meal,Global Market,Grill,Water/Juices",Water/Juices,Grill,Global Market,Family Meal,,,,,,,,,,Yes,Family Meal,Yes,Drinks
No,"Special,Salad Bar,",Special,Salad Bar,,,,,,,,,,,,Yes,Family Meal,No,
No,Salad Bar,Salad Bar,,,,,,,,,,,,,No,,Yes,"Salad Bar,Water/Juices"
No,"Family Meal,Global Market,Special,Water/Juices,Drinks,Fruit",Special,Family Meal,Global Market,Fruit,Water/Juices,Drinks,,,,,,,,No,,Yes,"Family Meal,Global Market,Water/Juices,"
No,"Grill,Special,Water/Juices",Grill,Special,Water/Juices,,,,,,,,,,,No,,No,
No,"Gluten Free,Water/Juices,Fruit",Gluten Free,Water/Juices,Fruit,,,,,,,,,,,No,,Yes,"Salad Bar,Water/Juices"
No,"Grill,Drinks",Grill,Drinks,,,,,,,,,,,,No,,No,
No,"Grill,Pizza,Special",Grill,Pizza,Special,,,,,,,,,,,No,,Yes,Pizza
No,"Family Meal,Global Market",Family Meal,Global Market,,,,,,,,,,,,No,,Yes,"Pizza,"
Yes,"Family Meal,Soups,Water/Juices",Family Meal,Soups,Water/Juices,,,,,,,,,,,No,,No,
No,"Grill,Soups,Salad Bar",Grill,Salad Bar,Soups,,,,,,,,,,,Yes,Family Meal,Yes,"Deli,"
Yes,"Grill,Salad Bar,Water/Juices",Grill,Salad Bar,Water/Juices,,,,,,,,,,,No,,Yes,
Yes,"Global Market,Salad Bar,",Global Market,Salad Bar,,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Grill,Pizza,Salad Bar,Drinks",Family Meal,Salad Bar,Grill,Pizza,Drinks,,,,,,,,,No,,Yes,"Special,Drinks"
Yes,"Family Meal,Gluten Free",Family Meal,Gluten Free,,,,,,,,,,,,No,,No,
Yes,"Global Market,Special,Salad Bar,Drinks,",Global Market,Special,Salad Bar,Drinks,,,,,,,,,,No,,No,
Yes,"Special,Soups,Salad Bar",Salad Bar,Soups,Special,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Grill",Family Meal,Grill,,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Global Market,Salad Bar,Water/Juices,Fruit",Family Meal,Global Market,Salad Bar,Water/Juices,Fruit,,,,,,,,,No,,Yes,Fruit
Yes,"Pizza,Special,Water/Juices,Deli",Special,Pizza,Deli,Water/Juices,,,,,,,,,,No,,Yes,
No,"Family Meal,Pizza",Family Meal,Pizza,,,,,,,,,,,,Yes,Bread,Yes,Special
No,"Family Meal,Global Market,Grill,Pizza",Global Market,Family Meal,Grill,Pizza,,,,,,,,,,No,,Yes,"Soups,Water/Juices,Drinks,"
No,"Pizza,Deli",Pizza,Deli,,,,,,,,,,,,Yes,Deli,No,
Yes,"Grill,Salad Bar,Water/Juices",Grill,Salad Bar,Water/Juices,,,,,,,,,,,No,,No,
No,"Grill,Pizza,Salad Bar",Grill,Salad Bar,Pizza,,,,,,,,,,,Yes,"Family Meal,Global Market",Yes,"Pizza,"
No,"Fruit,",,Fruit,,,,,,,,,,,,No,,No,
Yes,"Global Market,Grill,Salad Bar,Water/Juices,",Salad Bar,Grill,Water/Juices,Global Market,,,,,,,,,,Yes,"Family Meal,Global Market,Grill",Yes,Global Market
Yes,"Drinks,Fruit",Drinks,Fruit,,,,,,,,,,,,Yes,Grill,Yes,Family Meal
Yes,"Pizza,Gluten Free,Salad Bar,Drinks",Pizza,Gluten Free,Salad Bar,Drinks,,,,,,,,,,No,,Yes,Special
No,"Pizza,Salad Bar,Drinks",Salad Bar,Pizza,Drinks,,,,,,,,,,,No,,No,
Yes,"Family Meal,Pizza,Drinks",Family Meal,Pizza,Drinks,,,,,,,,,,,No,,Yes,
Yes,"Global Market,Special,Salad Bar",Special,Salad Bar,Global Market,,,,,,,,,,,No,,Yes,"Global Market,Drinks"
Yes,"Grill,Special,Salad Bar,Drinks,",Grill,Special,Salad Bar,Drinks,,,,,,,,,,No,,No,
Yes,"Drinks,",Drinks,,,,,,,,,,,,,No,,No,
No,"Grill,Salad Bar,Water/Juices,",Grill,Salad Bar,Water/Juices,,,,,,,,,,,No,,Yes,"Water/Juices,"
Yes,"Family Meal,Salad Bar",Salad Bar,Family Meal,,,,,,,,,,,,Yes,Gluten Free,Yes,Salad Bar
No,"Gluten Free,Vegan,Soups,Drinks",Gluten Free,Vegan,Soups,Drinks,,,,,,,,,,No,,Yes,Drinks
Yes,"Family Meal,Global Market,Grill,Salad Bar,Water/Juices,Drinks,Fruit,",Grill,Fruit,Global Market,Drinks,Family Meal,Salad Bar,Water/Juices,,,,,,,Yes,"Family Meal,Global Market,Grill",Yes,
No,"Family Meal,Vegan,Salad Bar",Vegan,Family Meal,Salad Bar,,,,,,,,,,,No,,Yes,Pizza
Yes,"Family Meal,Global Market,Water/Juices",Family Meal,Global Market,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Family Meal,Pizza,Salad Bar,Drinks,Fruit",Family Meal,Salad Bar,Pizza,Fruit,Drinks,,,,,,,,,Yes,Family Meal,Yes,Special
Yes,"Family Meal,Pizza,Gluten Free,Soups,Salad Bar",Family Meal,Gluten Free,Pizza,Soups,Salad Bar,,,,,,,,,No,,Yes,Family Meal
No,"Family Meal,Grill,Gluten Free,Soups,Salad Bar",Family Meal,Grill,Salad Bar,Gluten Free,Soups,,,,,,,,,No,,No,
Yes,"Grill,Special,Soups,Drinks",Special,Soups,Grill,Drinks,,,,,,,,,,Yes,Global Market,No,
