Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
Yes,"Family Meal,Global Market,Fruit,Bread",Bread,Family Meal,Global Market,Fruit,,,,,,,,,,Yes,"Grill,Salad Bar,Water/Juices",Yes,"Family Meal,Global Market,Fruit"
Yes,"Salad Bar,Drinks,Deli",Salad Bar,Deli,Drinks,,,,,,,,,,,Yes,Deli,No,
No,Pizza,Pizza,,,,,,,,,,,,,No,,No,
Yes,"Special,Kosher,Soups,Salad Bar,Drinks",Kosher,Soups,Special,Drinks,Salad Bar,,,,,,,,,No,,Yes,Grill
Yes,"Family Meal,Global Market,Grill,Pizza,Salad Bar,Drinks",Grill,Family Meal,Global Market,Pizza,Salad Bar,Drinks,,,,,,,,No,,Yes,"Family Meal,Drinks"
Yes,Global Market,Global Market,,,,,,,,,,,,,Yes,Family Meal,Yes,
No,"Family Meal,Global Market,Pizza,Special,Gluten Free,Vegan,Salad Bar,Water/Juices,Drinks,Deli,Fruit,Bread,",Family Meal,Global Market,Pizza,Vegan,Special,Gluten Free,Drinks,Water/Juices,Salad Bar,Deli,Fruit,Bread,,Yes,Family Meal,Yes,"Water/Juices,"
No,"Global Market,Grill,Soups,Salad Bar",Global Market,Grill,Salad Bar,Soups,,,,,,,,,,No,,Yes,"Soups,Salad Bar"
No,"Global Market,Grill,Pizza",Global Market,Grill,Pizza,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Global Market,Gluten Free,Drinks",Global Market,Family Meal,Gluten Free,Drinks,,,,,,,,,,No,,Yes,
No,Gluten Free,Gluten Free,,,,,,,,,,,,,No,,No,
No,"Family Meal,Global Market,Water/Juices",Family Meal,Global Market,Water/Juices,,,,,,,,,,,No,,Yes,Water/Juices
No,"Grill,Soups,Salad Bar,Drinks,Bread,",Bread,Soups,Drinks,Grill,Salad Bar,,,,,,,,,Yes,Family Meal,No,
Yes,"Grill,Pizza,Drinks",Grill,Pizza,Drinks,,,,,,,,,,,Yes,Global Market,Yes,"Grill,Drinks,"
Yes,"Global Market,Gluten Free,Deli,",Global Market,Gluten Free,Deli,,,,,,,,,,,Yes,Family Meal,No,
Yes,"Grill,Kosher,Water/Juices,Fruit",Grill,Kosher,Water/Juices,Fruit,,,,,,,,,,Yes,"Water/Juices,Fruit",Yes,Water/Juices
No,"Special,Vegan,Water/Juices",Special,Vegan,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Grill,Gluten Free,Vegan,Deli",Vegan,Gluten Free,Grill,Deli,,,,,,,,,,Yes,Global Market,No,
Yes,"Pizza,Special,Gluten Free,Vegan,Drinks",Special,Pizza,Gluten Free,Vegan,Drinks,,,,,,,,,No,,Yes,Salad Bar
Yes,"Global Market,Salad Bar,Water/Juices",Global Market,Salad Bar,Water/Juices,,,,,,,,,,,No,,Yes,
